source,type,score,scored_by,status,episodes,members
manga,movie,9.04,65116,finished_airing,1.0,135944
manga,tv,7.75,242939,finished_airing,23.0,457871
original,tv,7.88,148692,finished_airing,13.0,344805
original,tv,8.26,86526,finished_airing,13.0,162883
manga,tv,7.64,480752,finished_airing,12.0,895259
manga,tv,7.87,153551,finished_airing,12.0,368030
manga,tv,8.28,83141,finished_airing,12.0,187982
light_novel,tv,8.24,87328,finished_airing,11.0,176295
manga,movie,8.25,85560,finished_airing,1.0,188220
web_novel,ona,8.41,74670,finished_airing,15.0,220465
manga,tv,7.73,253770,finished_airing,22.0,584245
original,movie,7.93,131649,finished_airing,1.0,268493
visual_novel,tv,7.76,217121,finished_airing,10.0,399804
original,movie,7.91,135464,finished_airing,1.0,303554
4_koma_manga,tv,7.96,125558,finished_airing,13.0,242216
manga,tv,7.79,190221,finished_airing,12.0,422385
web_manga,tv,7.84,161479,finished_airing,13.0,328190
manga,tv,7.9,135415,finished_airing,13.0,324865
game,tv,7.94,126877,finished_airing,21.0,268852
manga,ova,7.83,164943,finished_airing,2.0,285612
manga,tv,8.8,63938,currently_airing,23.0,509658
manga,tv,7.61,580432,finished_airing,12.0,979708
manga,tv,7.7,285465,finished_airing,12.0,571371
manga,tv,7.98,118738,finished_airing,24.0,311455
original,movie,8.25,80426,finished_airing,1.0,178114
manga,tv,7.73,232954,finished_airing,97.0,375258
original,tv,8.15,90671,finished_airing,12.0,221742
manga,tv,8.62,65135,finished_airing,11.0,179470
manga,special,8.26,79370,finished_airing,1.0,130498
manga,tv,7.62,455858,finished_airing,12.0,763360
manga,tv,8.17,88211,finished_airing,25.0,221755
visual_novel,tv,7.94,123914,finished_airing,26.0,327647
manga,tv,8.21,82847,finished_airing,77.0,220596
light_novel,tv,7.65,367338,finished_airing,12.0,709417
manga,tv,8.73,63223,finished_airing,12.0,181867
original,movie,7.89,134538,finished_airing,1.0,234042
manga,tv,7.57,986852,finished_airing,175.0,1691645
original,movie,7.8,172367,finished_airing,1.0,306347
manga,tv,7.69,277665,finished_airing,26.0,527366
manga,tv,7.66,327619,finished_airing,12.0,614326
original,tv,7.84,146835,finished_airing,13.0,349275
original,tv,7.86,139675,finished_airing,24.0,317865
